"Date","MLPA.Open","MLPA.High","MLPA.Low","MLPA.Close","MLPA.Volume","MLPA.Adjusted"
2012-04-19,20.767,20.892,20.767,15.08,9900,10.892111
2012-04-20,20.933,20.933,20.906,15.1,1400,10.906557
2012-04-23,20.947,21.044,20.767,15.12,34400,10.921003
2012-04-24,20.878,20.961,20.795,15.12,43000,10.921003
2012-04-25,20.92,20.92,20.878,15.08,14000,10.892111
2012-04-26,20.933,21.003,20.933,15.17,19000,10.957115
2012-04-27,21.03,21.072,21.017,15.22,4200,10.993234
2012-04-30,21.086,21.155,21.072,15.28,8600,11.036571
2012-05-01,21.183,21.197,21.141,15.28,3600,11.036571
2012-05-02,21.169,21.183,21.169,15.3,4100,11.051016
2012-05-03,21.418,21.418,21.044,15.2,2200,10.978786
2012-05-04,20.961,21.003,20.961,15.17,600,10.957115
2012-05-07,21.183,21.183,20.837,15.08,3300,10.892111
2012-05-08,20.767,20.767,20.657,15,7500,10.83433
2012-05-09,20.698,20.698,20.421,14.75,1500,10.653757
2012-05-10,20.504,20.74,20.504,14.95,23400,10.798215
2012-05-11,20.726,20.726,20.56,14.85,18000,10.725986
2012-05-14,20.546,20.573,20.38,14.72,47300,10.632091
2012-05-15,20.504,20.504,20.297,14.69,22000,10.610418
2012-05-16,20.449,20.449,20.255,14.65,29700,10.581528
2012-05-17,20.269,20.269,19.95,14.41,10400,10.408178
2012-05-18,19.937,19.992,19.563,14.14,14500,10.213161
2012-05-21,19.618,19.964,19.604,14.42,15100,10.415402
2012-05-22,19.978,20.214,19.978,14.5,15900,10.473186
2012-05-23,19.909,20.103,19.798,14.49,81000,10.465961
2012-05-24,19.964,20.047,19.909,14.48,2000,10.45874
2012-05-25,19.909,20.117,19.909,14.51,14800,10.480409
2012-05-29,20.103,20.227,20.103,14.52,2200,10.487632
2012-05-30,20.352,20.352,19.798,14.33,27600,10.350395
2012-05-31,19.909,19.909,19.66,14.28,7500,10.31428
2012-06-01,19.604,19.604,19.147,13.83,27300,9.98925
2012-06-04,19.341,19.494,18.94,13.71,35100,9.902578
2012-06-05,19.064,19.064,18.995,13.72,1700,9.909799
2012-06-06,19.84,19.84,19.535,14.2,15100,10.256497
2012-06-07,19.84,19.923,19.687,14.26,2600,10.299835
2012-06-08,19.604,19.701,19.577,14.23,4900,10.278165
2012-06-11,19.743,19.743,19.66,14.2,1700,10.256497
2012-06-12,19.632,19.66,19.632,14.2,1300,10.256497
2012-06-13,19.66,19.66,19.66,14.2,600,10.256497
2012-06-14,19.66,19.66,19.563,14.13,4700,10.205938
2012-06-15,19.715,19.77,19.618,14.23,4500,10.278165
2012-06-18,19.521,19.646,19.438,14.14,10800,10.213161
2012-06-19,19.66,19.937,19.66,14.38,28900,10.386511
2012-06-20,19.992,20.047,19.895,14.4,12600,10.400954
2012-06-21,19.923,19.923,19.674,14.22,4100,10.270944
2012-06-22,19.66,19.729,19.577,14.25,1600,10.292612
2012-06-25,19.66,19.66,19.272,14.02,35500,10.126485
2012-06-26,19.466,19.466,19.314,14.05,5700,10.148155
2012-06-27,19.646,19.881,19.577,14.36,4400,10.372065
2012-06-28,19.77,19.867,19.687,14.34,15200,10.357618
2012-06-29,20.753,20.753,20.186,14.66,7000,10.588752
2012-07-02,20.042,20.083,19.892,14.68,24500,10.730558
2012-07-03,20.275,20.275,20.042,14.66,6900,10.715939
2012-07-05,20.234,20.234,20.015,14.7,4900,10.745176
2012-07-06,20.015,20.138,19.946,14.72,21700,10.759796
2012-07-09,20.151,20.261,20.028,14.79,6100,10.810965
2012-07-10,20.193,20.193,20.015,14.63,11400,10.694009
2012-07-11,20.165,20.179,20.097,14.75,7900,10.781726
2012-07-12,20.22,20.521,20.138,14.77,19700,10.796345
2012-07-13,20.384,20.398,20.329,14.91,5100,10.898679
2012-07-16,20.411,20.507,20.247,14.92,12700,10.905989
2012-07-17,20.384,20.507,20.384,14.96,15900,10.935225
2012-07-18,20.521,20.548,20.521,15.01,4700,10.971775
2012-07-19,20.589,20.603,20.535,15.01,6700,10.971775
2012-07-20,20.562,20.603,20.521,15.04,12600,10.993706
2012-07-23,20.124,20.466,20.124,14.93,9300,10.913299
2012-07-24,20.384,20.384,20.329,14.89,400,10.884063
2012-07-25,20.288,20.288,20.234,14.82,900,10.832892
2012-07-26,20.781,20.781,20.261,14.88,2200,10.876749
2012-07-27,20.521,20.521,20.357,14.93,16300,10.913299
2012-07-30,20.63,20.63,20.466,15.02,14300,10.979085
2012-07-31,20.576,20.589,20.452,14.99,5000,10.957159
2012-08-01,20.521,20.644,20.521,15.08,6600,11.022944
2012-08-02,20.535,20.535,20.398,14.94,4900,10.920608
2012-08-03,20.521,20.808,20.493,15.21,20500,11.117971
2012-08-06,20.535,20.576,20.452,15.04,13200,10.993706
2012-08-07,20.712,20.712,20.48,15.03,4500,10.986396
2012-08-08,20.658,20.658,20.398,14.96,16200,10.935225
2012-08-09,20.384,20.507,20.384,14.99,13400,10.957159
2012-08-10,20.452,20.562,20.452,15.02,19900,10.979085
2012-08-13,20.781,20.781,20.507,15.02,17600,10.979085
2012-08-14,20.726,20.726,20.507,15,3800,10.964467
2012-08-15,20.617,20.671,20.576,15.09,19600,11.030255
2012-08-16,20.74,20.74,20.548,15.14,3100,11.066801
2012-08-17,20.699,20.699,20.603,15.13,2600,11.059493
2012-08-20,20.712,20.726,20.63,15.13,4200,11.059493
2012-08-21,20.767,20.767,20.644,15.11,2200,11.044871
2012-08-22,20.576,20.63,20.562,15.08,12500,11.022944
2012-08-23,20.794,20.794,20.535,15.04,6500,10.993706
2012-08-24,20.63,20.63,20.521,15.02,10200,10.979085
2012-08-27,20.712,20.712,20.521,15.04,11200,10.993706
2012-08-28,20.589,20.644,20.589,15.09,5100,11.030255
2012-08-29,20.74,20.74,20.658,15.12,5100,11.052182
2012-08-30,20.671,20.699,20.644,15.13,10800,11.059493
2012-08-31,20.712,20.808,20.671,15.21,7200,11.117971
2012-09-04,20.808,20.863,20.644,15.17,65800,11.088732
2012-09-05,20.794,20.794,20.74,15.18,4400,11.096041
2012-09-06,20.699,20.781,20.617,15.07,20200,11.015634
2012-09-07,20.712,20.74,20.671,15.11,5400,11.044871
2012-09-10,20.726,20.753,20.726,15.15,5600,11.07411
2012-09-11,20.699,20.726,20.658,15.13,4900,11.059493
2012-09-12,20.74,20.808,20.671,15.21,3500,11.117971
2012-09-13,20.685,20.849,20.685,15.23,12800,11.132589
2012-09-14,20.849,21.054,20.781,15.39,32400,11.249543
2012-09-17,22.204,22.204,21,15.36,7900,11.227613
2012-09-18,21.013,21.136,20.986,15.35,6500,11.220304
2012-09-19,20.863,20.986,20.781,15.33,41800,11.205684
2012-09-20,21.068,21.068,20.877,15.33,5700,11.205684
2012-09-21,21.027,21.082,20.959,15.36,15500,11.227613
2012-09-24,21.013,21.164,20.945,15.36,60000,11.227613
2012-09-25,21.15,21.15,20.904,15.3,11300,11.183756
2012-09-26,20.918,20.918,20.849,15.27,12700,11.161828
2012-09-27,20.931,21.027,20.931,15.36,12500,11.227613
2012-09-28,21.013,21.013,21.013,15.36,0,11.227613
2012-10-01,20.426,20.507,20.426,15.23,12800,11.310793
2012-10-02,20.534,20.534,20.453,15.22,95600,11.303366
2012-10-03,20.615,20.615,20.413,15.27,6200,11.3405
2012-10-04,20.655,20.777,20.561,15.32,102200,11.377632
2012-10-05,20.601,20.75,20.601,15.33,5300,11.385058
2012-10-08,20.601,20.655,20.601,15.3,11900,11.36278
2012-10-09,20.642,20.682,20.601,15.31,41800,11.370205
2012-10-10,20.548,20.588,20.548,15.28,12000,11.347924
2012-10-11,20.709,20.709,20.561,15.28,12400,11.347924
2012-10-12,20.561,20.575,20.48,15.28,7300,11.347924
2012-10-15,20.628,20.628,20.548,15.32,7500,11.377632
2012-10-16,20.669,20.736,20.601,15.4,14600,11.437045
2012-10-17,21.679,21.679,20.696,15.41,13100,11.444471
2012-10-18,20.871,20.871,20.709,15.4,9800,11.437045
2012-10-19,20.857,20.857,20.521,15.27,14100,11.3405
2012-10-22,20.561,20.655,20.548,15.33,18200,11.385058
2012-10-23,20.682,20.682,20.44,15.27,13200,11.3405
2012-10-24,20.601,20.655,20.534,15.25,12300,11.325645
2012-10-25,20.615,20.669,20.548,15.26,4900,11.333073
2012-10-26,20.992,20.992,20.44,15.23,18700,11.310793
2012-10-31,20.561,20.561,20.426,15.19,11800,11.281086
2012-11-01,20.736,20.736,20.399,15.24,13400,11.318219
2012-11-02,20.44,20.575,20.44,15.23,5600,11.310793
2012-11-05,20.413,20.507,20.413,15.21,25900,11.295941
2012-11-06,20.413,20.601,20.413,15.27,16100,11.3405
2012-11-07,20.48,20.494,20.251,15.18,24200,11.273658
2012-11-08,20.44,20.467,20.305,15.11,29000,11.221671
2012-11-09,20.251,20.251,20.063,14.95,21700,11.102846
2012-11-12,20.13,20.198,19.511,14.62,36700,10.857767
2012-11-13,19.592,19.592,19.134,14.36,18700,10.664674
2012-11-14,19.524,19.524,18.986,14.14,19200,10.501288
2012-11-15,19.08,19.08,18.555,13.94,28100,10.352755
2012-11-16,18.918,19.39,18.689,14.4,9900,10.69438
2012-11-19,19.78,19.78,19.672,14.67,9400,10.8949
2012-11-20,19.767,19.794,19.645,14.7,17100,10.917179
2012-11-21,19.74,19.821,19.74,14.71,13700,10.924607
2012-11-23,19.861,19.942,19.861,14.78,3400,10.976594
2012-11-26,20.817,20.817,19.821,14.72,20900,10.932034
2012-11-27,19.901,19.942,19.794,14.77,27800,10.969166
2012-11-28,20.642,20.642,19.794,14.8,6800,10.991446
2012-11-29,20.817,20.817,19.807,14.91,30000,11.073139
2012-11-30,20.251,20.251,19.861,14.96,19200,11.110272
2012-12-03,20.063,20.063,19.847,14.79,30300,10.984021
2012-12-04,19.847,19.861,19.713,14.65,33300,10.880045
2012-12-05,19.767,19.847,19.592,14.61,300400,10.850341
2012-12-06,19.726,19.726,19.497,14.48,27900,10.753794
2012-12-07,19.699,19.699,19.484,14.53,7000,10.790926
2012-12-10,19.43,19.74,19.43,14.55,24000,10.805781
2012-12-11,19.592,19.619,19.484,14.56,27800,10.813207
2012-12-12,19.551,19.578,19.322,14.35,24300,10.657247
2012-12-13,19.376,19.376,19.053,14.28,44500,10.605261
2012-12-14,19.295,19.349,19.08,14.27,9700,10.597834
2012-12-17,19.255,19.309,19.188,14.29,17900,10.612687
2012-12-18,19.443,19.605,19.295,14.51,63700,10.776073
2012-12-19,19.699,19.821,19.511,14.66,14200,10.887473
2012-12-20,19.605,19.861,19.605,14.75,14000,10.954314
2012-12-21,19.659,19.807,19.551,14.68,19500,10.902328
2012-12-24,19.592,19.686,19.592,14.58,15000,10.82806
2012-12-26,19.969,19.969,19.403,14.41,17400,10.701806
2012-12-27,19.336,19.349,19.228,14.29,5400,10.612687
2012-12-28,19.255,19.376,19.255,14.35,15600,10.657247
2012-12-31,19.309,19.565,19.282,14.53,20600,10.790926
2013-01-02,20.117,20.224,19.874,14.96,21500,11.110272
2013-01-03,20.13,20.238,20.049,14.97,30300,11.117701
2013-01-04,20.063,20.278,20.063,15.06,24400,11.18454
2013-01-07,20.453,20.453,20.198,15.1,70600,11.214248
2013-01-08,20.332,20.332,20.251,15.06,15200,11.18454
2013-01-09,20.48,20.48,20.305,15.13,13400,11.236527
2013-01-10,20.399,20.507,20.386,15.22,26500,11.303366
2013-01-11,20.48,20.507,20.413,15.23,11900,11.310793
2013-01-14,20.669,20.669,20.48,15.28,53600,11.347924
2013-01-15,20.534,20.534,20.373,15.25,26500,11.325645
2013-01-16,20.453,20.561,20.359,15.24,63000,11.318219
2013-01-17,20.588,20.669,20.588,15.33,28500,11.385058
2013-01-18,20.723,20.763,20.561,15.42,22000,11.451899
2013-01-22,20.871,20.925,20.75,15.52,66800,11.526166
2013-01-23,21.005,21.005,20.777,15.46,63200,11.481606
2013-01-24,20.938,20.938,20.709,15.38,16500,11.422194
2013-01-25,20.803,20.803,20.669,15.38,17000,11.422194
2013-01-28,20.736,20.898,20.736,15.52,21000,11.526166
2013-01-29,20.898,20.952,20.817,15.56,28700,11.555874
2013-01-30,21.073,21.073,20.898,15.59,46200,11.578154
2013-01-31,20.992,21.046,20.992,15.59,13600,11.578154
2013-02-01,21.059,21.194,21.032,15.73,22700,11.682126
2013-02-04,21.194,21.194,21.032,15.67,17700,11.637564
2013-02-05,21.1,21.167,20.992,15.72,23500,11.6747
2013-02-06,21.207,21.207,20.978,15.61,48100,11.593003
2013-02-07,21.14,21.14,20.938,15.59,18100,11.578154
2013-02-08,20.489,20.489,20.382,15.42,34300,11.627923
2013-02-11,20.542,20.568,20.422,15.47,39300,11.665627
2013-02-12,20.489,20.621,20.382,15.55,73600,11.725953
2013-02-13,20.621,20.754,20.595,15.65,23500,11.801359
2013-02-14,20.807,20.807,20.701,15.66,26000,11.808899
2013-02-15,20.873,20.873,20.581,15.52,28900,11.70333
2013-02-19,20.595,20.754,20.595,15.65,83600,11.801359
2013-02-20,20.807,20.807,20.634,15.57,45100,11.741033
2013-02-21,20.568,20.621,20.343,15.48,28600,11.673166
2013-02-22,20.502,20.502,20.409,15.43,10900,11.635461
2013-02-25,20.807,20.807,20.356,15.39,101100,11.605299
2013-02-26,20.303,20.449,20.29,15.37,35200,11.590218
2013-02-27,20.396,20.542,20.396,15.47,15700,11.665627
2013-02-28,20.634,20.634,20.515,15.48,8800,11.673166
2013-03-01,20.608,20.608,20.475,15.49,25500,11.680707
2013-03-04,20.528,20.648,20.475,15.57,132000,11.741033
2013-03-05,20.595,20.701,20.595,15.56,42500,11.733493
2013-03-06,20.82,20.82,20.382,15.48,93300,11.673166
2013-03-07,20.528,20.634,20.528,15.56,38400,11.733493
2013-03-08,20.714,20.767,20.701,15.66,27000,11.808899
2013-03-11,20.714,20.767,20.687,15.66,17700,11.808899
2013-03-12,20.886,20.886,20.356,15.64,60500,11.793818
2013-03-13,20.873,20.873,20.661,15.61,70700,11.771195
2013-03-14,20.74,20.966,20.608,15.58,43400,11.748573
2013-03-15,20.595,20.634,20.595,15.55,6800,11.725953
2013-03-18,20.515,20.608,20.515,15.51,45400,11.695789
2013-03-19,20.595,20.595,20.542,15.52,15900,11.70333
2013-03-20,20.581,20.78,20.581,15.67,17500,11.816442
2013-03-21,20.74,21.019,20.74,15.8,181500,11.914474
2013-03-22,20.992,21.152,20.992,15.9,29900,11.989879
2013-03-25,21.165,21.231,21.059,15.93,32500,12.012503
2013-03-26,21.099,21.244,21.085,16.02,37200,12.08037
2013-03-27,21.205,21.231,21.165,15.99,92600,12.057748
2013-03-28,21.337,21.337,21.152,16.049999,12800,12.102991
2013-04-01,21.152,21.311,21.152,16.049999,55400,12.102991
2013-04-02,21.39,21.39,21.231,16.02,105700,12.08037
2013-04-03,21.377,21.377,20.913,15.84,52500,11.944635
2013-04-04,21.205,21.205,20.953,15.83,21400,11.937094
2013-04-05,20.833,21.019,20.82,15.84,32000,11.944635
2013-04-08,21.045,21.258,20.939,16.02,45600,12.08037
2013-04-09,21.231,21.43,21.231,16.120001,45300,12.155781
2013-04-10,21.483,21.483,21.311,16.09,39700,12.133158
2013-04-11,21.351,21.351,21.205,16.059999,13700,12.110533
2013-04-12,21.271,21.271,21.178,16.01,18200,12.072829
2013-04-15,21.112,21.125,20.953,15.81,26700,11.922012
2013-04-16,20.992,21.218,20.992,15.99,15600,12.057748
2013-04-17,21.099,21.152,21.006,15.91,36400,11.99742
2013-04-18,21.099,21.125,21.059,15.9,10800,11.989879
2013-04-19,21.059,21.297,21.059,16.040001,44700,12.095453
2013-04-22,21.43,21.43,21.284,16.08,34600,12.125615
2013-04-23,21.417,21.457,21.404,16.17,15700,12.193482
2013-04-24,21.51,21.523,21.443,16.18,36900,12.201024
2013-04-25,21.523,21.563,21.39,16.139999,20800,12.17086
2013-04-26,21.523,21.523,21.178,16.049999,157300,12.102991
2013-04-29,21.324,21.337,21.231,16.09,57800,12.133158
2013-04-30,21.443,21.443,21.297,16.120001,58100,12.155781
2013-05-01,21.47,21.47,21.191,16.049999,41100,12.102991
2013-05-02,21.47,21.47,21.085,15.92,47600,12.004961
2013-05-03,21.205,21.297,21.165,16.059999,17700,12.110533
2013-05-06,21.311,21.417,21.311,16.120001,31200,12.155781
2013-05-07,21.377,21.43,21.377,16.139999,24200,12.17086
2013-05-08,21.47,21.682,21.457,16.35,77500,12.329218
2013-05-09,21.147,21.147,20.951,16.129999,80100,12.34146
2013-05-10,21.108,21.212,21.016,16.219999,27900,12.410319
2013-05-13,21.068,21.199,21.068,16.190001,29800,12.387366
2013-05-14,21.121,21.278,21.068,16.280001,40000,12.456228
2013-05-15,21.304,21.304,21.082,16.17,17700,12.372063
2013-05-16,21.134,21.173,21.003,16.09,24200,12.310853
2013-05-17,21.016,21.121,21.016,16.16,73500,12.364411
2013-05-20,21.134,21.173,21.082,16.200001,35000,12.39502
2013-05-21,21.173,21.421,21.173,16.370001,91300,12.525088
2013-05-22,21.539,21.539,21.343,16.34,37700,12.502135
2013-05-23,21.304,21.369,21.173,16.280001,22600,12.456228
2013-05-24,21.304,21.304,21.212,16.26,41700,12.440927
2013-05-28,21.304,21.369,21.291,16.34,14800,12.502135
2013-05-29,21.369,21.369,21.029,16.129999,62900,12.34146
2013-05-30,21.173,21.173,20.716,15.97,31900,12.219039
2013-05-31,20.859,20.885,20.729,15.89,38600,12.157829
2013-06-03,20.768,20.781,20.65,15.9,32300,12.16548
2013-06-04,20.755,20.846,20.637,15.81,14100,12.096619
2013-06-05,20.598,20.598,20.363,15.61,22200,11.943595
2013-06-06,20.454,20.663,20.428,15.8,17400,12.088968
2013-06-07,20.768,20.899,20.689,15.94,19200,12.196084
2013-06-10,20.872,20.912,20.781,16,8800,12.241991
2013-06-11,20.794,20.833,20.703,15.86,16300,12.134875
2013-06-12,20.742,20.794,20.65,15.84,74400,12.119574
2013-06-13,20.703,20.768,20.611,15.87,15500,12.142526
2013-06-14,20.755,20.912,20.755,15.99,19100,12.234341
2013-06-17,20.925,21.016,20.912,16.07,43400,12.295551
2013-06-18,20.938,21.042,20.925,16.040001,45700,12.272597
2013-06-19,21.029,21.055,20.951,16.030001,8100,12.264947
2013-06-20,20.872,20.872,20.48,15.77,24300,12.066015
2013-06-21,20.716,20.755,20.35,15.72,41600,12.027757
2013-06-24,20.533,20.533,20.01,15.69,29400,12.004802
2013-06-25,20.559,20.755,20.48,15.88,19300,12.150178
2013-06-26,20.807,20.99,20.807,16.049999,11400,12.280249
2013-06-27,21.042,21.238,21.042,16.23,22800,12.41797
2013-06-28,21.186,21.291,21.108,16.290001,18800,12.463881
2013-07-01,21.434,21.434,21.265,16.35,26600,12.509787
2013-07-02,21.356,21.408,21.238,16.26,48900,12.440927
2013-07-03,21.265,21.265,21.134,16.209999,11900,12.402669
2013-07-05,21.395,21.395,20.99,16.23,18400,12.41797
2013-07-08,21.33,21.343,21.186,16.33,80100,12.494482
2013-07-09,21.317,21.382,21.251,16.32,55300,12.486832
2013-07-10,21.408,21.408,21.33,16.370001,39100,12.525088
2013-07-11,21.513,21.617,21.447,16.530001,23900,12.647509
2013-07-12,21.63,21.761,21.5,16.610001,27100,12.708719
2013-07-15,21.813,21.813,21.591,16.66,124900,12.746975
2013-07-16,21.827,21.827,21.447,16.49,34600,12.616904
2013-07-17,21.604,21.604,21.487,16.49,24000,12.616904
2013-07-18,21.604,21.63,21.447,16.41,30800,12.555693
2013-07-19,21.487,21.487,21.408,16.440001,87400,12.578648
2013-07-22,21.565,21.565,21.474,16.48,47600,12.60925
2013-07-23,21.63,21.63,21.408,16.459999,35700,12.593949
2013-07-24,21.5,21.5,21.304,16.360001,31600,12.517437
2013-07-25,21.382,21.421,21.369,16.370001,11800,12.525088
2013-07-26,21.343,21.474,21.291,16.43,29700,12.570996
2013-07-29,21.487,21.487,21.291,16.33,12600,12.494482
2013-07-30,21.421,21.434,21.199,16.309999,22400,12.479181
2013-07-31,21.33,21.33,21.199,16.23,73700,12.41797
2013-08-01,21.343,21.395,21.186,16.209999,115900,12.402669
2013-08-02,21.265,21.278,21.173,16.200001,12200,12.39502
2013-08-05,21.186,21.265,21.108,16.209999,21700,12.402669
2013-08-06,21.082,21.369,21.082,16.299999,42300,12.47153
